i4d,timestamp,type,message
1,2025-04-18 14:56:07,SYN_FLOOD,SYN Packet from 10.10.97.63 to 52.4.225.17 at 2025-04-18 14:56:07
2,2025-04-18 14:56:18,SYN_FLOOD,SYN Packet from 10.10.97.63 to 23.66.223.64 at 2025-04-18 14:56:18
3,2025-04-18 14:56:58,SYN_FLOOD,SYN Packet from 10.10.97.63 to 13.107.246.40 at 2025-04-18 14:56:58
4,2025-04-18 14:56:59,SYN_FLOOD,SYN Packet from 10.10.97.63 to 20.189.173.24 at 2025-04-18 14:56:59
5,2025-04-18 14:57:23,SYN_FLOOD,SYN Packet from 10.10.97.63 to 13.107.246.40 at 2025-04-18 14:57:23
6,2025-04-18 14:58:20,SYN_FLOOD,SYN Packet from 10.10.97.63 to 142.250.191.195 at 2025-04-18 14:58:20
7,2025-04-18 14:58:31,SYN_FLOOD,SYN Packet from 10.10.97.63 to 13.89.179.10 at 2025-04-18 14:58:31
8,2025-04-18 14:58:33,SYN_FLOOD,SYN Packet from 10.10.97.63 to 52.168.117.168 at 2025-04-18 14:58:33
9,2025-04-18 14:59:16,SYN_FLOOD,SYN Packet from 10.10.97.63 to 23.221.252.179 at 2025-04-18 14:59:16
10,2025-04-18 14:59:46,SYN_FLOOD,SYN Packet from 10.10.97.63 to 52.108.8.12 at 2025-04-18 14:59:46
11,2025-04-18 15:00:07,SYN_FLOOD,SYN Packet from 10.10.97.63 to 20.190.190.130 at 2025-04-18 15:00:07
12,2025-04-18 15:00:08,SYN_FLOOD,SYN Packet from 10.10.97.63 to 23.212.250.20 at 2025-04-18 15:00:08
13,2025-04-18 15:00:46,SYN_FLOOD,SYN Packet from 10.10.97.63 to 172.217.1.106 at 2025-04-18 15:00:46
14,2025-04-18 15:00:46,SYN_FLOOD,SYN Packet from 10.10.97.63 to 142.250.191.142 at 2025-04-18 15:00:46
15,2025-04-18 15:01:11,SYN_FLOOD,SYN Packet from 10.10.97.63 to 54.88.104.74 at 2025-04-18 15:01:11
16,2025-04-18 15:01:58,SYN_FLOOD,SYN Packet from 10.10.97.63 to 13.107.246.40 at 2025-04-18 15:01:58
17,2025-04-18 15:01:59,SYN_FLOOD,SYN Packet from 10.10.97.63 to 20.189.173.15 at 2025-04-18 15:01:59
18,2025-04-18 15:02:23,SYN_FLOOD,SYN Packet from 10.10.97.63 to 13.107.246.40 at 2025-04-18 15:02:23
19,2025-04-18 15:02:29,SYN_FLOOD,SYN Packet from 10.10.97.63 to 13.107.5.93 at 2025-04-18 15:02:29
20,2025-04-18 15:02:30,SYN_FLOOD,SYN Packet from 10.10.97.63 to 13.107.5.93 at 2025-04-18 15:02:30
21,2025-04-18 15:02:30,SYN_FLOOD,SYN Packet from 10.10.97.63 to 13.107.5.93 at 2025-04-18 15:02:30
22,2025-04-18 15:02:34,SYN_FLOOD,SYN Packet from 10.10.97.63 to 13.107.5.93 at 2025-04-18 15:02:34
23,2025-04-18 15:02:35,SYN_FLOOD,SYN Packet from 10.10.97.63 to 13.107.5.93 at 2025-04-18 15:02:35
24,2025-04-18 15:02:36,SYN_FLOOD,SYN Packet from 10.10.97.63 to 74.125.201.84 at 2025-04-18 15:02:36
25,2025-04-18 15:02:38,SYN_FLOOD,SYN Packet from 10.10.97.63 to 13.107.5.93 at 2025-04-18 15:02:38
26,2025-04-18 15:02:39,SYN_FLOOD,SYN Packet from 10.10.97.63 to 40.126.62.132 at 2025-04-18 15:02:39
27,2025-04-18 15:02:40,SYN_FLOOD,SYN Packet from 10.10.97.63 to 13.107.246.40 at 2025-04-18 15:02:40
28,2025-04-18 15:02:40,SYN_FLOOD,SYN Packet from 10.10.97.63 to 13.107.5.93 at 2025-04-18 15:02:40
29,2025-04-18 15:02:41,SYN_FLOOD,SYN Packet from 10.10.97.63 to 13.107.5.93 at 2025-04-18 15:02:41
30,2025-04-18 15:02:51,SYN_FLOOD,SYN Packet from 10.10.97.63 to 40.79.167.8 at 2025-04-18 15:02:51
31,2025-04-18 15:02:51,SYN_FLOOD,SYN Packet from 10.10.97.63 to 40.79.167.8 at 2025-04-18 15:02:51
32,2025-04-18 15:03:04,SYN_FLOOD,SYN Packet from 10.10.97.63 to 52.179.73.36 at 2025-04-18 15:03:04
33,2025-05-08 22:38:13,UDP_ATTACK,Sending 5 oversized UDP packets to 10.0.0.95:9999...
34,2025-05-08 22:38:13,UDP_ATTACK,Packet sent during UDP attack: IP / UDP 10.0.0.95:12345 > 10.0.0.95:9999 / Raw
35,2025-05-08 22:38:13,UDP_ATTACK,Packet sent during UDP attack: IP / UDP 10.0.0.95:12346 > 10.0.0.95:9999 / Raw
36,2025-05-08 22:38:13,UDP_ATTACK,Packet sent during UDP attack: IP / UDP 10.0.0.95:12347 > 10.0.0.95:9999 / Raw
37,2025-05-08 22:38:13,UDP_ATTACK,Packet sent during UDP attack: IP / UDP 10.0.0.95:12348 > 10.0.0.95:9999 / Raw
38,2025-05-08 22:38:13,UDP_ATTACK,Packet sent during UDP attack: IP / UDP 10.0.0.95:12349 > 10.0.0.95:9999 / Raw
39,2025-05-08 22:38:13,UDP_ATTACK,Oversized UDP packets sent.
40,2025-05-08 22:38:14,ICMP_SWEEP,Starting ICMP ping sweep on 10.0.0.95-95
41,2025-05-08 22:38:14,ICMP_SWEEP,ICMP Echo Request sent to 10.0.0.95
42,2025-05-08 22:38:14,ICMP_SWEEP,Ping sweep completed.
