id,timestamp,src_ip,dest_ip,protocol,details
1,2025-04-18 14:56:07,10.10.97.63,52.4.225.17,TCP,SYN Packet
2,2025-04-18 14:56:18,10.10.97.63,23.66.223.64,TCP,SYN Packet
3,2025-04-18 14:56:58,10.10.97.63,13.107.246.40,TCP,SYN Packet
4,2025-04-18 14:56:59,10.10.97.63,20.189.173.24,TCP,SYN Packet
5,2025-04-18 14:57:23,10.10.97.63,13.107.246.40,TCP,SYN Packet
6,2025-04-18 14:58:20,10.10.97.63,142.250.191.195,TCP,SYN Packet
7,2025-04-18 14:58:31,10.10.97.63,13.89.179.10,TCP,SYN Packet
8,2025-04-18 14:58:33,10.10.97.63,52.168.117.168,TCP,SYN Packet
9,2025-04-18 14:59:16,10.10.97.63,23.221.252.179,TCP,SYN Packet
10,2025-04-18 14:59:46,10.10.97.63,52.108.8.12,TCP,SYN Packet
11,2025-04-18 15:00:07,10.10.97.63,20.190.190.130,TCP,SYN Packet
12,2025-04-18 15:00:08,10.10.97.63,23.212.250.20,TCP,SYN Packet
13,2025-04-18 15:00:46,10.10.97.63,172.217.1.106,TCP,SYN Packet
14,2025-04-18 15:00:46,10.10.97.63,142.250.191.142,TCP,SYN Packet
15,2025-04-18 15:01:11,10.10.97.63,54.88.104.74,TCP,SYN Packet
16,2025-04-18 15:01:58,10.10.97.63,13.107.246.40,TCP,SYN Packet
17,2025-04-18 15:01:59,10.10.97.63,20.189.173.15,TCP,SYN Packet
18,2025-04-18 15:02:23,10.10.97.63,13.107.246.40,TCP,SYN Packet
19,2025-04-18 15:02:29,10.10.97.63,13.107.5.93,TCP,SYN Packet
20,2025-04-18 15:02:30,10.10.97.63,13.107.5.93,TCP,SYN Packet
21,2025-04-18 15:02:30,10.10.97.63,13.107.5.93,TCP,SYN Packet
22,2025-04-18 15:02:34,10.10.97.63,13.107.5.93,TCP,SYN Packet
23,2025-04-18 15:02:35,10.10.97.63,13.107.5.93,TCP,SYN Packet
24,2025-04-18 15:02:36,10.10.97.63,74.125.201.84,TCP,SYN Packet
25,2025-04-18 15:02:38,10.10.97.63,13.107.5.93,TCP,SYN Packet
26,2025-04-18 15:02:39,10.10.97.63,40.126.62.132,TCP,SYN Packet
27,2025-04-18 15:02:40,10.10.97.63,13.107.246.40,TCP,SYN Packet
28,2025-04-18 15:02:40,10.10.97.63,13.107.5.93,TCP,SYN Packet
29,2025-04-18 15:02:41,10.10.97.63,13.107.5.93,TCP,SYN Packet
30,2025-04-18 15:02:51,10.10.97.63,40.79.167.8,TCP,SYN Packet
31,2025-04-18 15:02:51,10.10.97.63,40.79.167.8,TCP,SYN Packet
32,2025-04-18 15:03:04,10.10.97.63,52.179.73.36,TCP,SYN Packet
